Insult,Date,Comment
0,20120528102624Z,"""maybe he is canadian, would explain why he is gutted not to be going."""
0,20120530102033Z,"""oh, fuck. yeah, he is not kidding, guys. it is images from the attack, and holy shit they are in a whole new world of graphic."""
1,20120619204911Z,"""evel dick gets my vote james are is a very creepy looking ""man"" mr rogers look alike plus he whined like a little bitch when janelle destroyed ""him"" in the otev pov comp"""
0,,"""-PRON- hey a12. was thinking about you today 'cause i was listening to some old blues. how is it going?"""
0,,"""i have watched the video over and over again, and with all the evidence ballotelli did not delibratly stamp on parkers head, for a start parker was behind mario when he fell, and in doing so knocked ballotelli off balance and tripped over hitting parker in the head, that is what the ref saw, the rest is history."""
0,20120612042541Z,"""yeah, they would pick up the trash then go thow it in the yard aroud their trailers."""
1,20120609173456Z,"""-PRON- go ahead and try, dude. go - fucking - ahead."""
0,20120610165355Z,"""so a single parent is better? get off you are fucking high horse and shut the fuck up. can you even imagine the trauma the two girls will feel? and, the loss of the other female partner will not change the other mother from being gay, i hope you realize."""
1,20120620175331Z,"""rob, you have proven you are point already. we understood - you are an antisemit. you can relax now."""
0,20120620022954Z,"""faux is a better source of animus."""
1,20120620030152Z,"""it is a great honor to be a zionist. you are garbage, a retarded idiot."""
0,20120609212040Z,"""sorry, but that is just a dumb statement. you are comparing some 3rd party promo to apple is own functionality. for example, if this were a reference to a carrier removing google navigation and forcing customers to use telenav, you would have a valid argument. but not in this case. if you want to make odd comparisons let is talk about how the iphone fucked everyone on sprint who enjoyed 1yr contracts, longer return periods and other perks that got taken away all because of the iphone. see, that is why i like android, because they do not make the carrier take one up the ass and screw their users out of perks they have enjoyed for years."""
1,20120529172614Z,"""sgboy,get back to you are cot,i hear you are parents calling for you."""
0,,"""-PRON- um, good question. please email polly-PRON-"""
0,20120609205338Z,"""looks like you have a stormer problem!..the same team that beat the bulls twice.habs and jean were great.morne, spies hougaard was below par.crusty the clown dont belong in this company."""
0,,"""joey barton only has a twitter account because he wants people to massage his ego. """
1,20120609210616Z,"""you are a pig."""
0,20120529213525Z,"""got you are back, here, r_dale. good post. typical of the gun nuts in utah."""
0,20120619025608Z,"""his wrist might be bothering him. he is got a chip floating around in there."""
0,20120612031140Z,"""based on the architecture, stucco building and foliage.oh, and the dancing gay black kid, i'm betting this is from florida."""
1,,"""fly away gay_pusy.fly away."""
1,20120611225158Z,"""we are not the losers but you and this country are."""
0,20120619040251Z,"""you have a beautiful body. what is wrong with a man looking at a woman with a beautiful body especially nice hips? if i'm stalker for that then every dude i know is a stalker as well."""
0,20120612032918Z,"""looks like a case of ""cat on keyboard disease""."""
0,,"""go get them egyptians. kill them all! we will be right behind you. (genesis 16:12) he will be a wild ass [uncivilized] of a man (yismael and his descendants) . his hand [will be] against everyone (meaning a robber per rashi) and everyone is hand will be against him (meaning everyone will hate him and will attack him per rashi); and in the presence of all his brothers he will dwell (meaning: his descendants will be many per rashi)."""
1,20120610023717Z,"""commenter? you are very childish. grow up and be a man. stupid remarks like yours just proves that you are a little boy and have yet to understand what it means to be an adult."""
0,20120620014816Z,"""awesome font and color on you are card:)"""
0,20120529004355Z,"""not tonight tv844..chill with that. the brewer and dodger fans are just enjoying the game wherever they are hoping that their team wins. simple is not it?"""
1,20120320202256Z,"""provide proof faggot."""
1,20120612024132Z,"""you are mother is the clubhouse whore."""
0,20120620005841Z,"""you are mother is."""
0,20120515202707Z,"""that is because you posted all lies and bullshyt!!"""
0,20120515164147Z,"""his poor mom.she seemed pretty cool. how the fuck did a person so nice end up raising such a cunt?"""
1,20120515155714Z,"""take you are ""testament"" and shove it."""
1,,"""suck ya dads dick ya stupid slut, he is waiting 4 u. you probably ugly as fuck, damn i know it sucks to be you, trollin on a joke i made. fall back b4 ihurt yo feelins ho"""
0,,""" yes, god gave us free will. no matter what the sin is, sin is a choice. people weren't born gay. somewhere in their environment or upbringing, they chose that lifestyle. there are people who enter it and leave it every day."""
0,20120529233847Z,"""i do not go to the woods this time of year, to hot, too chiggers. i stick to shore until it cools off!"""
0,,"""gloves on the baby please"""
0,20120529223205Z,"""why do not you think he will be worth it?"""
0,20120612143504Z,"""there is far worse things happening in africa,and where is you are humanity towards africa.more than half of mali has been taken over by fsa best mates al quaida,mauritania still has a slavery system going on,chad,niger,darfur,south sudan are on the brink of famine,somalia once again fsa best mates al quaida ruining the country,north eastern congo there is deaths and mass rapes,don't you reckon some of the issues in africa are far worse than syrian regime battling terrorists."""
0,20120619164200Z,"""you are 100% spot on in regards to that little brat."""
1,20120619131405Z,"""seems like you are on tik you moron! are all people of you are colour rapists of mothers and children? i do not think so. stop making idiot comments!"""
1,20120620013234Z,"""you certainly come off as an arrogant sob you are right ends when the safety of others begins. i do not give a rat is ass that you hunt, but keep you are bullets along with you are second hand smoke away from me. sheffield village is a sprawling area and you are living in the past. you, sir, may have to find a new piece of hunting paradise to fulfill you are desires. as far as history goes, tyhe indians hunted all over. places change. get with it or get out!"""
0,20120609171343Z,"""the existence of the interstate highway system hardly outweighs the vast amount of other problems with the federal government. i hear a lot of ""you can thank bush and cheney"" from you but what has you are precious obama done to reverse any of that? oh, do i hear the letters 'ndaa'? i think i do. obama is as much a globalist stooge as those two are. the borders are indeed open and if the federal government could accomplish it politically (and they will not stop trying) they indeed would not be illegal aliens. you think you are being funny about the violent savages comment but what good will come of importing masses of somalians, mexicans, muslims, and haitians do us? these people as a general rule are violent and backwards. i see no need for the existence of ms-13 in our nation. you seem to think that i support bush, cheney, or romney. nothing could be further from the truth. these ""people"" are all globalist zionist scum like you are much favored obama. why is it that it is so hard to see what is right in front of you are face? obama is a sellout to the transnational elites just like bush is. their intention is to destroy us and you seem to have you are head in the sand."""
0,20120611200315Z,"""thats what i thought about herge, but turned out he was just opinionated as fuck. turn the other cheek."""
1,20120619234723Z,"""whatisbannedisneversuppressed, you are just a sorry ass commie aren't you? too lazy to get out of bed to better yourself. much easier to sit back and let others do the hard graft and hand over money to you to live you are commie dream. never mind thinking big, try working big. that is what benefits all. you are type make me sick to my core."""
1,,"""how stupid are you? do you realize that many women take birth control pills for many reasons besides preventing pregnancy? educate yourself,fool."""
1,20120620103547Z,"""fucking idiots"""
0,20120620020918Z,"""durant needs to do something fine a way to get him free."""
0,20120530145624Z,"""laird ans avila (and santos) may be among the tigers' most marketable players- at least as far as trading for a starting pitcher or a starting 2b is concerned."""
1,20120529151717Z,"""you are a fighter not a lover,and you are family needs to die too."""
0,,"""-PRON- but tna is full of aretired wrestlers'? so should not that be 'has been wrestling' too?"""
0,20120529051156Z,"""where do you find time to record an album when you are on trial for murder?"""
0,,""" puts politics between women and their healthcare. what do they think they are doing? both sides are putting politics between americans and their liberty. as an aside, the only reson the left wants people to have all the abortions they want is because they want to control who can and cannot have children. they want to create the ""master race"" themselves. women is rights? sure, like they actually care. if they did, we would have occupied the middle east a long time ago in the name of saving women from rape, mutilation, and murder!"""
0,20120528182522Z,"""i love a coach that can talk naughty."""
1,20120529025144Z,"""ok. you are a complete retard. re-read what you just said about a ""bullpen"". you know nothing about baseball!"""
0,20120530010711Z,"""tampa is loosing also. they may give us yet another break!"""
0,20120611182425Z,"""to be honest, dont you think that some fool made this fake twittwer account up ?"""
0,20120611181753Z,"""there is no way roger maywheather said these things. his account was definetely hacked into. no man of his position will say these kind of things. i mean, he wouldn't talk about another man is wife in that way."""
0,20120528144444Z,"""is this a defensive stand for theo or an offensive jab at paolo? they really aren't the same thing. if you have been reading him that long and dislike him that much then ignore his comments. the irony is , many of paolo is views and opinions bring the good cub fan out of many of us .( rahrah) the guy was a military drill instructor devoted to creating fearless fighters. he just does it on a different scale now creating fearless fans out of fair weather fans. just sayin man."""
0,,"""no, they choose to be gay for the same reason jerry sandusky chooses to f boys in the rear.it is deviance, and i agree, once they are caught up in it, it is nearly impossible to stop. but it is a choice. """
0,20120620030603Z,"""last summer is vs. suju right ?? now this summer 2ne1 vs. suju they forgot b2st """
0,20120612040248Z,"""hey, when you are in public or on the internet, you cover you are private areas with clothing. we do not want to see porn, and that includes you are butt."""
0,,"""it gets more and more like butlins as the weeks go on."""
1,,"""stfu you dirty ugly wet musty hair havin rican! dirty ass wetback! i swear i cant stand you dirty ugly pale face wannabe white spics postin racist bs on wshh when you the least disliked group of ppl in america! ima spit in the next lil wetback kids face when i see em because of u"""
1,20120528114508Z,"""that is a moronic response. they should not repeat the crimes they commited? please don t post you are trash here."""
0,20120612123131Z,"""please use you are search engine before you look any dumber. or just go straight to the police information so far. . ."""
1,20120618202459Z,"""by ""you are kind"" i mean angry little yankee know-it-alls,who are complete white trash in the states they came from and move here and think they know everything, because ""southerners are slow and backwards"". you were trash up there and you are trash down here. go home and take all of you are friends with you. you are ruining our culture and quality of life. although, you sir wouldn't understand anything about quality of life,you are a pathetic internet troll who is entire life is sadly based around you are pathetic rants on message boards. go home dude."""
0,20120514050733Z,"""the fucking website said it worked for a4 devices only; now i'm in 5.1.1, do not have 5.01 shsh blobs (just learned about those), ifaith doesn't recognize my ios, and i have two different redsn0w versions that now do not mean shit. it is great that you guys work so hard, but please. check you are posts!"""
0,20120514051016Z,"""ha ha wait until you have you are own kids:)"""
1,20120503035306Z,"""now you went and.fucked..up this whole page."""
0,20120618223920Z,"""there are many great jews.i have no issue with the faith"""
1,20120503034615Z,"""you know, it is so easy to talk shit about this, you know nothing about what he was going thorough in his life, so fuck off!"""
1,20120528233058Z,"""-PRON- you look like brian scalabrine is brother. thoughts?"""
0,20120530014930Z,"""providing oil companies with $4 billion to offset their costs for exploration is socialism, is it not? that little gift did not come from obama, it came from bush."""
1,20120620130801Z,"""and you need to know classified information because. when it passes into history, there is little anyone can do about it. and in the meantime, you really do not need that information. i'm guessing you just want to feel smug about getting it."""
0,20120612010436Z,"""crap, you are chick as got a run."""
0,20120618211456Z,"""yeah but we love a good smack down"""
0,20120611190438Z,"""clintons shirt should read way to go barry i screwed a intern you screwed the whole country"""
0,20120611202808Z,"""i think i'm in love with you."""
0,,"""they fucking slayed! they just slayed everyone and my life with that sexy, flawless, epic performance. """
0,20120528005943Z,"""i love serendipity 3 is frozen haute chocolate."""
0,20120618232602Z,"""you shit me not. what is that all about?"""
0,20120530134834Z,"""it is the title that matters in this case :)"""
0,20120619235729Z,"""yes, they are, and ireland is the richest."""
0,20120610081049Z,"""dear lord, i believe you are guiding me to find my destiny. there may be lost, there may be obstacles, there may be faliures, there may be disappointments. yet, i never give up my fight for a wiser way of life. may you be always with us, and guide us away from getting lost."""
0,20120619194931Z,"""obama is working as fast as he can."""
0,20120529202535Z,"""easy to tell when it is the off-season. ubbs should put a crossword puzzle on the blog."""
1,20120610193549Z,"""you are an idiot.why do you even bother..??.wasted words."""
0,,"""and rape and incest? that is self control too?"""
0,20120610040020Z,"""my big homo lil wayne fucks this nigger in his ass when it comes to music"""
0,20120529211749Z,"""irony? this has nothing to do with! you just cannot take off you are rosecolored glasses long enough to see that there is a real problem a dodger stadium! they need to tear that dump down and relocate"""
0,,"""is that why you are head smells like obamas-ass?"""
0,20120620005935Z,"""exactly. is not sexist. is also responsible for that complete fucking imbecile joe the plumber."""
0,20120530144654Z,"""that is the difference. they cannot just make a run and think they can win against the spur is. they have to be able to make stops when it counts. young team, bright future."""
1,,"""lol! do you even realize you are making a fool of yourself? i bet next you will post something like ""i forwarded you are post to the fbi"" or maybe "" i told my mommy"" speaking of growing up get busy. """
0,20120609235117Z,"""this is getting very silly.headline my race hell.a tad dramatic."""
0,20120530040622Z,"""aw you go back checking you are posts for likes. how sad."""
1,20120612130916Z,"""you stupid fuck you c i hope you die the same way she did."""
1,20120620162014Z,"""but, you couldn't show any proof of that, even if it was true. go away. you are an embarassment to you are klan brothers, you are family, you are neighbors, you are teachers and america as a whole. find something to say that is not directly quoting nazi or stalinist propaganda. the most pathetic poster on the web. you are below oberbite, a soros trool or the ignorant little heap that wwrote ""waiting to exhale""."""
0,20120620134646Z,"""many ppl report seeing an officer pounding away at his chest while screaming breathe you mofo."""
0,,"""iv installed but siri just says unable to help please try later ?"""
0,20120610042435Z,"""yes, they are-hope you are feeling better. time heals everything-no matter how many folks say this to you and no matter how much you think you are life is over.it is not and it will. hugs"""
0,,"""for those of you who do not know this, check out the dep. of ag. the food stamp program comes out of the dep. of ag. budget. for those of us who are farmers, we would like that explained to all and we would also like the us government to get out of our business with their ""cheap food policy"". the regulations and demands made on farmers by the usda, epa, irs, nsc, etc. would blow you are minds. and do not forget peta! enjoy every bite of food that you take, unless of course it is not grown in this country - farmers in other parts of the world do not have to abide by the same rules we do. i have no problem cutting the budget - any business that wants to stay in operation has to be lean to prosper."""
0,,"""-PRON--PRON- il have to pack my things and go,dont my me i have been working on my ray charles chops"""
0,20120527185956Z,"""being a ""natural born citizen"" is not based on the nationality of you are parents."""
0,20120529083811Z,"""i have come to discover that actually know the name of an official can mean nothing good."""
0,20120530074948Z,"""michael jordan won his first title after seven years. lebron is in his ninth season."""
1,20120620073123Z,"""all these news are planted and for getting some extra media attention - that is all .bloody fucker .ranbir fucker kapoor."""
1,20120612115443Z,"""are you fucking dumb? ""making it clear that the group was delaying their comeback due to album production and not to competition with other groups."" should be thankful that 2ne1 did not cameback this june, if 2ne1 did, those awards will be owned by 2ne1. insicured fx fan."""
0,20120610051138Z,"""wtf is this shit? he shot the fuck out for this shit.. diz won and i only seen this clip of the battle. smh."""
0,20120611171212Z,"""obama is econimic plan bs !"""
1,20120320161748Z,"""you are an idiot!"""
0,20120620001218Z,"""how is it reasonable, anon, when harper has done none of the things you attribute to fascism? all-powerful leader? has to stand for re-election in three years. strict social order? you are joking, right? glorification of militarism? the troops have been recalled and their budget trimmed. opposition parties? hale and hearty and full of piss and vinegar. elimination of organized labour? no, they did that to themselves by pricing themselves out of the market. advancement of business over individuals? elaborate. ethno-centrism? try qu, thomas mulcair is home ground. disparagement of the constitution? that is the scc is specialty. belittling the courts? who doesn't, these days, and for good reason. dissolution of mp power? do you see the house of commons burning (along with those crosses in prince george)? spying on ordinary citizens? child pornographers are not ordinary citizens. judging by the raving of harper is enemies on these blogs, if he wins another majority, there is going to be a worldwide tinfoil shortage."""
1,20120611025055Z,"""well, i was born and raised in africa and proud of it! wth do you think africans are lesser than you or something?? take you are ignorant ass somewhere else cuz i'm not the one."""
0,20120610023625Z,"""see, i was actually reading you are comment, until i got to the comment, ""but i completely backed herman cain before he backed out because of the scandal."" then i realized, you know nothing about politics. do some research. then come back and make an educated comment."""
0,20120610003130Z,"""so you think cigar willie clinton will help obongo win? balack obongo has learned his lesson too late. you cant trust a fuckingliberal. just like you cant trust a liberal troll commenter."""
0,20120528233639Z,"""i never liked interleague play but they did not ask me, lol."""
1,20120620111856Z,"""and odumbo is an old lying,inept,loser,communist,ni66er,what is you are point?"""
0,20120515185619Z,"""mom looks like an ol' ho from way back herself. screw her and her pervert ass son."""
0,20120610114910Z,"""when you could not reveal the names given of foreign a/c holders, you are nothing but an another piece of crap like pm, chidu, deshmukh, salman etc; you all lost the confidence of public because of lies after lies. history will never forgive you guys."""
0,20120609210546Z,"""when that nigger tighten his belt i knew he couldnt fucked up. he look like wanda"""
0,20120612095155Z,"""viva mi odpisa, klip b emitowany jak tylko otrzymaj emisyjny teledysk."""
0,20120620175609Z,"""that is what the ""full comment"" banner at the top is for. but you are right, the front page links to opinion pieces without indicating them as such."""
0,20120530030207Z,"""are you rooting for nole now?"""
0,20120611041254Z,"""-PRON- ""0bama in 2o12"" ""inherit the wind"" ""0bama in 2o12"" .they d0 abs0lutely n0thing delusi0nal angry selfish lying stingy c0rrupt greedy crooked c0mmunist republicans ://bit.ly/mrzlgv all have committed p0litical suicide 2o12 .the unre-electable bigtime lazy whiningass crybaby pathetic loser demon j0hn ""the pacifier sucka"" b0ehner damn rite lugar is definitely out & you are next .the unm0tivated unre-electable well kn0wn super dastardly weakminded s0rryass quitter & loser demon eric ""the cowardly weasel"" cant0r damn rite lugar is definitely out & you are next .the 0ld ://t.co/3xgn4fpb dumbass & loser demon its definitely time 2retire mitch ""the bigg time evil snitch"" mcc0nnell damn rite lugar is definitely out & you are next ""inherit the wind"" you are most definitely g0ing 2b0w d0wn .believe. y0ur 0bstructionism & d0 abs0lutely n0thing final days ar most definitely numbered it is permanently engraved in st0ne damn rite president obama a man 0f all the pe0ple in 2o12 .forward .give moe powwa 2da peeps"""
0,20120620154635Z,"""""the great problem with trying to make yourself stupider than you are is that you often succeed."" --from the magician is nephew (if memory serves..)"""
0,20120515170815Z,"""i guess you are those who have a fetish for huge silicon boobs."""
0,20120620120256Z,"""pretty much the same thing happens most of the animals in factory farms. this keychain business is horrible, but remember so are battery chicken farms, dairy farms and so on. know how food and clothes and everything you use is produced. often there are animals that suffer to produce those things. utilize the internet, know the truths! it will change you are diet and the way you live :-)"""
0,20120515232334Z,"""you would know a thing or two about having trains ran on yourself sending messages from theo lacy."""
0,20120612082829Z,"""i'm assuming he has a mustache as well as the headphones and ipod case? it probably would have been more relevent to mention that."""
0,20120527173403Z,"""he was almost hit in the head by the previous pitch. he was a little out of place after that pitch. imagine getting a curveball towards the head (missing you) and then on the next pitch is a 94 mph fastball down the middle. no way you are reaction will be to swing."""
1,20120610002614Z,"""try speaking in correct english as well. what dummies are on here today."""
0,20120530052359Z,"""nothing has been proven at all. just like all those birther lawsuits. there is no proof. just because a bunch of gullible people believe it doesn't make it true."""
0,20120530123140Z,"""you clearly do not know him."""
1,20120619035434Z,"""who the hell do you think you are saying anything! sounds like you are the uneducated ignorant pieces of shit to me!"""
1,20120618231138Z,"""answer: yes. no. yes. are you retarded? meh. nope."""
0,,"""what kills me is if you disagree with me that you are a racist."""
1,20120619112530Z,"""you do not wear you are brain bucket .you only hurt you and you are family. you become impaired you have the ability to hurt everyone."""
0,,"""he is not an isolationist. he just does not want a foreign policy that ends in america stomping all over the world like babylonians. only ron paul will defend israel when they blow up iran is nuclear sites just like only ron paul defended israel when they blew up iraq is nuclear sites. ron paul is hardly an isolationist, he just recognizes a lot of tough truths about america is foreign policy that the self-righteous warmongers just cannot seem to swallow. """
0,20120611223754Z,"""oh pops you must really really be enamoured with bill you naughty boy you"""
0,,"""we could start a media blitz like they did with the drug campaign. you know, the one . . . ""this is you are brain, this is . . ."". we could show pictures of pelosi and say . . . this is you are bomb vest . . . here is you are reward when you blow yourself up."""
1,20120527201228Z,"""nice use of vulgarity attached to a teen; you have real internet muscles. nice racist screen name too, if a male you fit the bill as a female nick-name. disgusting; no way that you are a patriotic conservative."""
0,,"""child fails to pull plug out of the wall as its glued in! child fails to push chair to counter as there is an adult in the room! (no children in the kitchen without an adult present and a locked gate) see above for the oven middle child runs off, cannot get into the kitchen,can't get to any cupboards with bleach in, cannot unplug anything, only has access to family rooms. there are also no hanging leads,blind pulls etc in any of the family rooms that way i do not have to beat my children (and yes i do count a smack) using you are logic i should come and beat you until you learn how to take simple safety precautions and remember that life is about managing risk not removing it as thats impossible."""
0,20120610032841Z,"""people think the yankees are scary, but nothing is as scary as the iraq lobster. com/watch?v=aidr3zvzso4"""
0,,"""yeah well done wenger,now van persie will leave for sure, the ox will want to go and no one will want to join our club because you are such a muppett ! the ox was running like a mad man we didnt see any sign of an injury? you are talking out of you are ars again! pack you are bags you are sacked!"""
0,,"""-PRON- """
1,20120530023731Z,"""how was that not a strike you buffoon?"""
0,20120502171911Z,"""moral of the story: when defending you are family, property, and self against a prowler, shoot to kill so they cannot come back and sue you."""
0,20120619201706Z,"""allan evans.some who actually pay to see you. more fool them if they disagree with his tax status."""
0,20120610081532Z,"""roflmao! you jest! 8===========d okay i am out of here."""
0,20120515204051Z,"""where are you are two pussy friends, lez and dogballs?"""
0,20120612000156Z,"""nobodyknows, from you are mouth to god is ear. yours, satx"""
1,20120530054358Z,"""shut up you dumbass bitch you are dirty brown water trash"""
0,20120619052850Z,"""courtt239 i'm a cat no shit you are dog doesn't like me"""
0,20120529162753Z,"""me?.i'm innocent..ask sthrnchckxs."""
0,20120528185339Z,"""och vad den reella skillnaden mot p d mer precist?"""
0,20120612140504Z,"""he is never looked into mckenna is spending spree. such as the shiny new storefront the ag rents at exorbitant rates from buddy putnam in tacoma. this has nothing to do with republican/democrat. it is all about buddies having each other is back and making well for themselves - the definition of corruption and collusion."""
0,20120530115933Z,"""well he was the greatest yankees manager ever"""
0,20120610151609Z,"""kelly made idol. they owe her as much as she owes them. she is an international superstar because of her voice and hard work not because of idol. kelly would have been famous with or without idol because she lives for music and has a gift from god."""
1,20120612120506Z,"""well aren't you fuck special. it is easy to have all those things when you are still living in you are mother is basement. loser"""
0,,"""is it april 1st??"""
1,,"""f uck off loser colon cowboy. go back to you are boyfriend is filthy, dirty, hair, bacteria infested ass hole and hope that when you pull you are c ock out it is not too brown. or does someone else is s hit on you are cock turn you on. you and you are type are sick, disgusting perverts."""
0,20120618214225Z,"""i like you are style"""
1,20120618222540Z,"""and it is idiots like you wanting soviet bloc laws as long as they do not affect you. you are both retarded, and you need to go back and read the bill of rights and the constitution again."""
1,20120320130723Z,"""clearly you are a fucktard. saying you are right (or wrong), just saying who the fuck just randomly compares a rap group or any other mc on a post about a specific video and song about the dude is mama. does sh or any other mc or hammerdance have to do with this song?"""
0,20120611183318Z,"""so you do not actually care about making women feel welcome as part of you are professional community, which is generally impossible for a woman living in a sexist society to do (this one) when attention is being drawn to how her colleagues see her as a sexual object. why do not you just admit it and be honest? i would feel really refreshed if someone like you said, for once, ""we do not want women in our field."" it would look stupid and ridiculous -- since why would you throw away half the available talent just because you want to sexualize everything? -- but then we could actually discuss the real point instead of derailing, dismissive, prevaricating, and dissembling discourse of which this one is an excellent example."""
1,20120529144224Z,"""you are certainly what lenin called a ""useful idiot"". if you like islam so much, go where it is practiced ""just the way you like it"". get to beat you are wife and will, kill you are kids for whatever reason turns you on, lie to anyone about anything just because ""it furthers the cause of islam"" and others around you actually believe you are lies."""
1,,"""it is not being a liberal that makes you like an idiot, it is when you try to defend this pos potus that makes you look like an idiot!"""
0,20120611054037Z,"""why do you white people keep coming here trying to act like they are one of us. go burn in the sun. i hope they kick all of you pale devils out of africa.you fools are going to bring pain on to yourselves.you watch we watch. in a world of the lost the battle of open minds is becoming a reality."""
0,20120619041202Z,"""-PRON- man game-PRON--PRON- ones has ""shit"" in his name. should have known."""
0,20120528004429Z,"""good evening sydneyjane. i hope you have been enjoying yours too."""
0,20120611204736Z,"""if you are iq was equal to the room temperature, you would be living in a refrigerator"""
0,,"""all that plastic was a waste of time.u 4 got 2 have a brain transplant."""
0,20120620020717Z,"""battier sucks again!1"""
0,20120619134521Z,"""is costa fortune anywhere near the costa brava because the spanish are gonna pay bigtime for their self indulgence."""
0,20120529014837Z,"""been there, done that, got the shirt. posting here is part of the counseling for my parole. thanks for caring though."""
0,20120619113201Z,"""ceo top is not happy of what you are doing youngbae, you are nipple distracts me lol"""
1,20120611014440Z,"""you are a loser."""
0,20120529130419Z,"""-PRON- , they came out with an album last week. first one in 5 years. it is pretty fucking awesome. solid rock album."""
0,,"""so, you do not want to bring people out of poverty, mitt? what exactly is this ""safety net""? welfare programs? i thought you and you are ilk wanted to cut those. you are not concerned about some honest americans who, sadly, sometimes have to eat stone cold cans of chef boyardee ravioli to live since it is ""economical"" ? you are not concerned about those who want a job? or those who want a better standard of living? you were born into a millionaire aristocracy. you won god is ""genetic lottery"" powerball before you were even born. you should consider yourself very lucky and try and help the less fortunate with you are wealth rather than hoard it in a little tropical island. you, sir, are an complete asshole. what a selfish, callous, and bigoted remark to make. nobody lives in poverty because they want to, mitt."""
0,20120528200046Z,"""but you are not at the game?"""
1,,"""go-away go-away go-away you dirty slut"""
1,20120611183219Z,"""how do you accidentally molest someone? are you retarded,or did it happen to you?"""
0,20120514050555Z,"""ypu do realize you just called you are mom a whore."""
1,20120515232441Z,"""quite sure you are mama did too. you are dad should have went fishing the day he knocked up you are mom. cannot stand you and i do not even know you. kids have died and all you have are these ridiculous comments. go fix yourself a nice plate of neckbones and rice. all i want is little bone to get caught in that cesspool smelling throat of yours and kill you over. you know what? you probably banged a chick and she told you you did not measure up laughed you right out of the bed. is that you are problem?"""
0,20120612052957Z,"""laptop retina displays are not for cheap people"""
0,20120612125535Z,"""rally against nazis, george soros while you are at it joyce."""
0,20120612130657Z,"""why? also - yes david was a secret arsehole."""
0,20120527211008Z,"""hey there less, good to see you!"""
0,20120528150815Z,"""whats with those american women?hope lepchenko wins.that will make10 for 10, i think!"""
1,20120528000919Z,"""you are a hater..plian and simple."""
0,20120620022123Z,"""disappointed by the casting of the role of maleficent! i had hoped that it would go to someone better other than this homewrecker! i certainly do not like it when the bad guy is deeper than we thought! just because you show a story as to how a person became evil (such as in this case maleficent or wicked) doesn't make them any less evil! idiots!"""
0,20120618210248Z,"""what do you care? you & you are 'ilk' lie every time you are lips move."""
0,,"""read my post- i said ""almost all money"". of course some tomatoes etc. might come from mexico or someplace else but the major mark up comes at the supermarkets not to mention the suppliers who buy that foreign produce dirt cheap. just consider that all those on foreign bases go out and blow their paychecks in other countries too. even the raw materials and energy used for our military come mainly from abroad. facts are facts and defense spending creates the least jobs and stimulus per $ spent for the simple reason that more funds go abroad than any other program."""
0,20120620112647Z,"""i will go back to my lenses now and try to spice it up a little."""
1,,"""lol i diot we used you are money lol what a waist of dna you are."""
1,20120610044450Z,"""eww i like bb but saying the rest of kpop isn't real music just makes you sound dumb as fuck. go back to you are wonderfully lame articles and leave f(x) alone. also thanks for increasing our views count mu a."""
1,20120320180425Z,"""that second year of fifth grad was a big fat waste of time. you are one sad, ignorant, liberal troll."""
0,,"""all that hatred inside of you must have eaten away what little capacity for clear thought you may have had. you lack the basic intelligence and knowledge to have real discussions or debates, so you come here insulting people into having arguments. you are insults are childish. you are proving all the negatives about you are party every time you type. how about posting you are picture. what are you ashamed of? you wouldn't have the balls to push all 'teh stupid' under you are real name."""
0,20120611140703Z,"""there is a lot of assad slave (shabihah) here fuck them"""
0,20120528103713Z,"""she can still come back.brianti is not that good, vika is just terrible today!!"""
0,20120620102704Z,"""not cured yet..i just uploaded a picture about six hours ago and posted a video.i'm just a little confused as you are posting on a page full of my progress for the past 16 weeks.but to answer you are question, no i am not cured as of today."""
1,20120619225447Z,"""yerpathetic 0 minutes ago in reply to !! you are an idiot. but do not worry. america allows you to be an idiot!! ======================= canadians never answer this question why?"""
0,20120610052854Z,"""holy fuck, not on no cocky shit but come on son you know i look good"""
0,20120612021124Z,"""chavez is 5 for his last 21, dumbass. if you think that is ""hitting better as of late,"" then i totally expect it, because you are too stupid to bring anything to the table. just go out and play in traffic, will ya? you are a disgrace to o is fans everywhere."""
0,20120619194823Z,"""you, sir (juan williams), are doing ""irreparable harm to the court is reputation,"" by calling into question its integrity before a decision has been made. , it is shameful that the two obama justices are not standing up against criticism is like yours. ? arguments and congressional vote counts should almost entirely no bearing on the court is decision-making. would expect more from you, juan."""
0,20120612113316Z,"""deuteronomy 21:18-21:""if a man has a stubborn and rebellious son who does not obey his father and mother and will not listen to them when they discipline him, 19 his father and mother shall take hold of him and bring him to the elders at the gate of his town. 20 they shall say to the elders, ""this son of ours is stubborn and rebellious. he will not obey us. he is a profligate and a drunkard."" 21 then all the men of his town shall stone him to death."" matthew 5:18 : ""i tell you the truth, until heaven and earth disappear, not the smallest letter, not the least stroke of a pen, will by any means disappear from the law until everything is accomplished."" you believers are dangerous."""
0,20120612104920Z,"""jeffreed what makes you think that undocumented humans do not pay taxes?"""
1,20120620095810Z,"""oh i think i do. let is put it this way, it is not like watching united. only muppets like yourself can see that is good football. listen good on them for qualifying, but the football is dross and a 100 odd idiots posting here isn't going to change that. so think again about who the thickos are and add you are name to the list."""
0,,"""well, i do not like to use the word, unless it is special circumstances. but i was testing the limits of the free speech here, because you are moderators claim that they do not censor anything. i actually find it sexist to allow the term ""faggot"" but not c*nt. """
